Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5,CR 2025 1,CR 2025 2,CR 2025 3,
,DNB Post MBBS,GEN,Maharashtra,"PD Hinduja, Mumbai",DNBGENERAL MEDICINE,"₹1,25,000","₹89,700",0,₹0,400,1670(2),1386(2),2208(2),-,-,942(2),942(2),942(2),-,-,544(2),817(2),817(2)
,AIQ,OBC,Haryana,"Pt BD Sharma, Rohtak",RADIO DIAGNOSIS,"₹1,25,000*","₹1,04,346*",0*,₹0*,2080,650(1),1025(1),1025(1),-,-,292(1),549(1),549(1),-,-,700(1),700(1),830(1)
,AIQ,EWS,Maharashtra,"Topiwala, Mumbai",GENERAL MEDICINE,"₹1,57,100*","₹93,559",1,"₹50,00,000",1300,1027(1),757(1),757(1),-,-,562(1),562(1),562(1),-,-,814(1),835(1),835(1)
,AIQ,OBC,Odisha,"SCB, Cuttack",DERMATOLOGY,"₹35,000*","₹73,042",2*,"₹55,09,464*",2106,1677(1),5191(1),5569(1),-,-,2785(1),2785(1),2785(1),-,-,836(1),836(1),836(1)
,AIQ,GEN,Rajasthan,"SNMC, Jodhpur",DERMATOLOGY,"₹14,093*","₹87,216*",2,"₹1,50,00,000",3101,-,-,-,-,-,1115(2),1281(2),1477(2),-,-,837(2),837(2),837(2)
,AIQ,GEN,Maharashtra,"BARC, Mumbai",NUCLEAR MEDICINE,"₹75,500","₹96,000",1*,"₹25,00,000*",390,2976(3),3343(3),4925(3),-,-,1670(3),1918(3),1918(3),6772(1),-,658(3),845(3),845(3)
,AIQ,EWS,Karnataka,"Bangalore Med Coll, Bangalore",GENERAL MEDICINE,"₹1,23,400*","₹56,250",1*,"₹50,00,000*",1993,1210(2),1210(2),1210(2),-,-,437(2),437(2),437(2),-,-,835(2),856(2),856(2)
,DNB Post MBBS,GEN,Maharashtra,"HurkisondasNurrotumdas, Mumbai",DNBRADIO DIAGNOSIS,"₹1,25,000","₹94,000",0,₹0,360,998(2),1242(2),1242(2),-,-,712(2),728(2),737(2),-,-,842(2),859(2),859(2)
,DNB Post MBBS,GEN,Kerala,"Malabar IMS, Kozhikode",DNBRADIO DIAGNOSIS,"₹1,25,000","₹57,876",0,₹0,573,1059(2),1489(2),1489(2),-,-,1267(2),1267(2),1267(2),-,-,595(2),863(2),863(2)
,AIQ,OBC,Maharashtra,"Govt Med Coll, Nagpur",RADIO DIAGNOSIS,"₹1,57,100*","₹93,559",1,"₹50,00,000",1866,843(1),905(1),905(1),-,-,345(2),584(2),623(2),-,-,692(2),830(2),865(2)
,AIQ,EWS,Karnataka,"Bangalore Med Coll, Bangalore",RADIO DIAGNOSIS,"₹1,23,400*","₹56,250",1*,"₹50,00,000*",1993,625(1),625(1),625(1),-,-,386(1),740(1),740(1),-,-,868(1),868(1),868(1)
,AIQ,GEN,Uttar Pradesh,"JNMC (AMU), Aligarh",DERMATOLOGY,"₹54,700*","₹1,14,975*",0,₹0,1269,-,-,-,-,-,-,-,-,-,-,557(1),557(1),869(1)
,AIQ,OBC,Kerala,"Medical College, Trivandrum",DERMATOLOGY,"₹69,470*","₹57,876",1*,"₹50,00,000*",2126,1008(1),1500(1),1500(1),-,-,756(1),756(1),756(1),-,-,870(1),870(1),870(1)
,IP,GEN,Delhi,"ABVIMS (Dr RML Hosp), Delhi",GENERAL MEDICINE,"₹51,000","₹1,36,008",1,"₹20,00,000",1626,704(8),704(8),704(8),-,-,1278(7),1278(7),1278(7),-,-,572(7),797(7),873(7)
,AIQ,ST,Delhi,"Lady Hardinge, Delhi",GENERAL MEDICINE,"₹16,200*","₹1,26,927*",1,"₹20,00,000",877,-,-,-,-,-,9101(1),9101(1),9578(1),-,-,4184(1),876(1),876(1)
,AIQ,EWS,West Bengal,"IPGMER, Kolkata",GENERAL MEDICINE,"₹12,000*","₹61,634",3*,"₹30,00,000*",2300,1180(1),1180(1),1180(1),-,-,-,-,-,-,-,877(1),877(1),877(1)
