Round,AI Rank,State,Institute,Course,Quota,Category,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,
,1,104,Uttar Pradesh,"SGPGI, Lucknow",RADIO DIAGNOSIS,AIQ,GEN,"₹35,000*","₹1,15,506",2*,"₹40,00,000*",1609
,1,105,Delhi,"MAMC, Delhi",GENERAL MEDICINE,DU,GEN,"₹16,200*","₹1,32,336*",1,"₹20,00,000",2800
,1,107,Chandigarh,"GMC, Chandigarh",GENERAL MEDICINE,AIQ,GEN,"₹34,500*","₹1,09,926*",0,₹0,967
,1,108,Delhi,"Lady Hardinge, Delhi",RADIO DIAGNOSIS,AIQ,GEN,"₹16,200*","₹1,26,927*",1,"₹20,00,000",877
,1,109,Tamil Nadu,"Madras Med Coll, Chennai",GENERAL MEDICINE,AIQ,GEN,"₹50,000*","₹54,025*",2*,"₹40,00,000*",7285
,1,110,Delhi,"MAMC, Delhi",GENERAL SURGERY,AIQ,GEN,"₹16,200*","₹1,32,336*",1,"₹20,00,000",2800
,1,112,Delhi,"ABVIMS (Dr RML Hosp), Delhi",GENERAL MEDICINE,AIQ,OBC,"₹51,000","₹1,36,008",1,"₹20,00,000",1626
,1,113,Uttar Pradesh,"JNMC (AMU), Aligarh",RADIO DIAGNOSIS,AIQ,GEN,"₹54,700*","₹1,14,975*",0,₹0,1269
,1,114,Kerala,"Govt Med Coll, Thrissur",GENERAL MEDICINE,AIQ,GEN,"₹69,470*","₹57,876",1*,"₹50,00,000*",1400
,1,115,Delhi,"MAMC, Delhi",GENERAL MEDICINE,DU,GEN,"₹16,200*","₹1,32,336*",1,"₹20,00,000",2800
,1,116,Delhi,"UCMS, Delhi",RADIO DIAGNOSIS,AIQ,GEN,"₹47,220*","₹1,32,336*",1,"₹20,00,000",1000
,1,117,Tamil Nadu,"Madras Med Coll, Chennai",PAEDIATRICS,AIQ,GEN,"₹50,000*","₹54,025*",2*,"₹40,00,000*",7285
,1,118,Kerala,"Medical College, Trivandrum",RADIO DIAGNOSIS,AIQ,GEN,"₹69,470*","₹57,876",1*,"₹50,00,000*",2126
,1,119,Maharashtra,"Lokmanya Tilak, Sion, Mumbai",GENERAL MEDICINE,AIQ,GEN,"₹1,57,100*","₹93,559",1,"₹50,00,000",1462
,1,120,Uttar Pradesh,"IMS(BHU), Varanasi",RADIO DIAGNOSIS,AIQ,GEN,"₹48,226*","₹1,12,054*",0,₹0,2424
,1,121,Delhi,"Lady Hardinge, Delhi",PAEDIATRICS,AIQ,GEN,"₹16,200*","₹1,26,927*",1,"₹20,00,000",877
,1,122,Maharashtra,"Grant Med Coll, Mumbai",RADIO DIAGNOSIS,AIQ,GEN,"₹1,57,100*","₹93,559",1,"₹50,00,000",2844
,1,123,Delhi,"MAMC, Delhi",GENERAL SURGERY,AIQ,GEN,"₹16,200*","₹1,32,336*",1,"₹20,00,000",2800
,1,124,Uttar Pradesh,"IMS(BHU), Varanasi",GENERAL MEDICINE,AIQ,GEN,"₹48,226*","₹1,12,054*",0,₹0,2424
,1,125,Maharashtra,"Seth GS, Mumbai",GENERAL MEDICINE,AIQ,GEN,"₹1,57,100*","₹93,559",1,"₹50,00,000",2250
,1,126,Delhi,"MAMC, Delhi",GENERAL MEDICINE,DU,GEN,"₹16,200*","₹1,32,336*",1,"₹20,00,000",2800
,1,127,Kerala,"Govt Med Coll, Kozhikode",RADIO DIAGNOSIS,AIQ,EWS,"₹69,470*","₹57,876",1*,"₹50,00,000*",3025
,1,129,Kerala,"Govt Med Coll, Kozhikode",GENERAL MEDICINE,AIQ,GEN,"₹69,470*","₹57,876",1*,"₹50,00,000*",3025
,1,131,Telangana,"NIMS, Hyderabad",RADIO DIAGNOSIS,AIQ,OBC,"₹72,000*","₹1,16,844",1,"₹20,00,000",1498
,1,132,Kerala,"Govt Med Coll, Kozhikode",GENERAL MEDICINE,AIQ,OBC,"₹69,470*","₹57,876",1*,"₹50,00,000*",3025
,1,133,Maharashtra,"Seth GS, Mumbai",RADIO DIAGNOSIS,AIQ,OBC,"₹1,57,100*","₹93,559",1,"₹50,00,000",2250
,1,134,Rajasthan,"SMS, Jaipur",GENERAL MEDICINE,AIQ,GEN,"₹14,093*","₹87,216*",2,"₹1,50,00,000",5702
