State,Institute,Course,Quota,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,
,Uttar Pradesh,"BRD Med Coll, Gorakhpur",ANAESTHESIOLOGY,AIQ,"₹24,000*","₹1,10,646*",2*,"₹40,00,000*",1050
,Madhya Pradesh,"Bundelkhand Med Coll, Sagar",ANAESTHESIOLOGY,AIQ,"₹1,01,500*","₹75,444",1*,"₹10,00,000*",750
,West Bengal,Burdwan Medical College,ANAESTHESIOLOGY,AIQ,"₹12,000*","₹61,634",3*,"₹30,00,000*",1099
,West Bengal,Calcutta National Med Coll,ANAESTHESIOLOGY,AIQ,"₹12,000*","₹61,634",3*,"₹30,00,000*",1470
,Karnataka,"Chamrajanagar IMS, Karnataka",ANAESTHESIOLOGY,AIQ,"₹1,23,400*","₹56,250",1*,"₹50,00,000*",750
,Tamil Nadu,Chengalpattu Med Coll,ANAESTHESIOLOGY,AIQ,"₹50,000*","₹54,025*",2*,"₹40,00,000*",700
,Chhattisgarh,"CIMS, Bilaspur",ANAESTHESIOLOGY,AIQ,"₹20,000*","₹67,500",2*,"₹50,00,000*",550
,West Bengal,"Chittaranjan CancerInst,Kolkata",ANAESTHESIOLOGY,AIQ,"₹12,000*","₹1,15,506",1*,"₹10,00,000*",670
,Tamil Nadu,Coimbatore Med Coll,ANAESTHESIOLOGY,AIQ,"₹50,000*","₹54,025*",2*,"₹40,00,000*",1182
,West Bengal,"College of Med & JNM, Kalyani",ANAESTHESIOLOGY,AIQ,"₹12,000*","₹61,634",3*,"₹30,00,000*",450
,West Bengal,"College of Med & SDH, Kolkata",ANAESTHESIOLOGY,AIQ,"₹12,000*","₹61,634",3*,"₹30,00,000*",500
,Bihar,"Darbhanga, Lehriasarai",ANAESTHESIOLOGY,AIQ,"₹9,000*","₹82,000",2*,"₹25,00,000*",1030
,Uttarakhand,"Doon Med Coll, Dehradun",ANAESTHESIOLOGY,AIQ,"₹60,000*","₹71,257*",2*,"₹2,50,00,000*",750
,Rajasthan,"SNMC, Jodhpur",ANAESTHESIOLOGY,AIQ,"₹14,093*","₹87,216*",2,"₹50,00,000",3101
,Maharashtra,"VMMC, Solapur",ANAESTHESIOLOGY,AIQ,"₹1,57,100*","₹93,559",1,"₹50,00,000",763
,Himachal Pradesh,"RPG, Tanda",ANAESTHESIOLOGY,AIQ,"₹24,000*","₹40,000*",2*,"₹40,00,000*",828
,Uttar Pradesh,"Dr RML IMS, Lucknow",ANAESTHESIOLOGY,AIQ,"₹35,000*","₹1,26,726",2*,"₹40,00,000*",1368
,Maharashtra,"Govt Med Coll, Nanded",ANAESTHESIOLOGY,AIQ,"₹1,57,100*","₹93,559",1,"₹50,00,000",750
,Telangana,"ESIC Med Coll,Sanath Nagar",ANAESTHESIOLOGY,AIQ,"₹2,50,000*","₹1,30,653",2*,"₹10,00,000*",690
,Karnataka,"ESI, Bangalore",ANAESTHESIOLOGY,AIQ,"₹2,50,000*","₹1,14,016*",2*,"₹10,00,000*",530
,Haryana,"ESIC Med Coll, Faridabad",ANAESTHESIOLOGY,AIQ,"₹2,50,000*","₹1,15,853*",2*,"₹10,00,000*",625
,Karnataka,"ESIC Med Coll,Gulbarga",ANAESTHESIOLOGY,AIQ,"₹2,50,000*","₹1,14,016*",2*,"₹10,00,000*",480
,West Bengal,"ESI, Joka, Kolkata",ANAESTHESIOLOGY,AIQ,"₹2,50,000*","₹1,00,980*",2*,"₹10,00,000*",470
,Tamil Nadu,"ESI PGIMSR, KK Nagar, Chennai",ANAESTHESIOLOGY,AIQ,"₹2,50,000*","₹1,15,506*",2*,"₹10,00,000*",470
,Delhi,"ESI, Basaidarpur, Delhi",ANAESTHESIOLOGY,AIQ,"₹2,50,000*","₹1,30,846*",2*,"₹10,00,000*",600
,Assam,"Fakhruddin Ali Ahmed, Barpeta",ANAESTHESIOLOGY,AIQ,"₹27,300*","₹55,200*",2*,"₹20,00,000*",470
,Karnataka,"Gadag IMS, Gadag",ANAESTHESIOLOGY,AIQ,"₹1,23,400*","₹56,250",1*,"₹50,00,000*",Info Not Available
,Madhya Pradesh,"Gajra Raja Med Coll, Gwalior",ANAESTHESIOLOGY,AIQ,"₹1,01,500*","₹75,444",1*,"₹10,00,000*",1100
,Madhya Pradesh,"Gandhi Med Coll, Bhopal",ANAESTHESIOLOGY,AIQ,"₹1,01,500*","₹75,444",1*,"₹10,00,000*",1135
,Telangana,"Gandhi Med Coll, Secunderabad",ANAESTHESIOLOGY,AIQ,"₹15,000*","₹67,032",1,"₹20,00,000",1200
,Assam,"Gauhati Med Coll, Guwahati",ANAESTHESIOLOGY,AIQ,"₹27,300*","₹55,200*",2*,"₹20,00,000*",2185
,Uttar Pradesh,"Govt Allopathic Med Coll,Banda",ANAESTHESIOLOGY,AIQ,"₹24,000*","₹1,10,646*",2*,"₹40,00,000*",430
,Tamil Nadu,Govt Dharmapuri Med Coll,ANAESTHESIOLOGY,AIQ,"₹50,000*","₹54,025*",2*,"₹40,00,000*",Info Not Available
,Maharashtra,"Govt Med Coll, Baramati",ANAESTHESIOLOGY,AIQ,"₹1,57,100*","₹93,559",1,"₹50,00,000",310
,Uttar Pradesh,"Govt Med Coll, Azamgarh",ANAESTHESIOLOGY,AIQ,"₹24,000*","₹1,10,646*",2*,"₹40,00,000*",550
,Chhattisgarh,"Govt Med Coll, Rajnandgaon",ANAESTHESIOLOGY,AIQ,"₹20,000*","₹67,500",2*,"₹50,00,000*",650
,Uttarakhand,"Govt Med Coll, Haldwani",ANAESTHESIOLOGY,AIQ,"₹60,000*","₹71,257*",2*,"₹2,50,00,000*",600
,Chhattisgarh,"Govt Med Coll, Ambikapur",ANAESTHESIOLOGY,AIQ,"₹20,000*","₹67,500",2*,"₹50,00,000*",785
,Punjab,"Govt Med Coll, Amritsar",ANAESTHESIOLOGY,AIQ,"₹1,25,000*","₹76,000*",2*,"₹20,00,000*",951
,Andhra Pradesh,"Govt Med Coll, Ananthapuram",ANAESTHESIOLOGY,AIQ,"₹30,000*","₹60,823",0*,₹0*,500
,Maharashtra,"GovtMedColl,ChhatrapatiSambhajiNgr",ANAESTHESIOLOGY,AIQ,"₹1,57,100*","₹93,559",1,"₹50,00,000",1177
,Rajasthan,"Govt Med Coll, Bhilwara",ANAESTHESIOLOGY,AIQ,"₹89,489*","₹87,216*",2,"₹50,00,000",Info Not Available
,Chandigarh,"GMC, Chandigarh",ANAESTHESIOLOGY,AIQ,"₹34,500*","₹1,09,926*",0,₹0,967
,Maharashtra,"Govt Med Coll, Chandrapur",ANAESTHESIOLOGY,AIQ,"₹1,57,100*","₹93,559",1,"₹50,00,000",650
,Madhya Pradesh,"Govt Med Coll, Datia",ANAESTHESIOLOGY,AIQ,"₹1,01,500*","₹75,444",1*,"₹10,00,000*",540
,Maharashtra,"Govt Med Coll, Gondia",ANAESTHESIOLOGY,AIQ,"₹1,57,100*","₹93,559",1,"₹50,00,000",500
,Maharashtra,"Govt Med Coll, Jalgaon",ANAESTHESIOLOGY,AIQ,"₹1,57,100*","₹93,559",1,"₹50,00,000",441
,Jammu and Kashmir,"Govt Med Coll, Jammu",ANAESTHESIOLOGY,AIQ,"₹25,000*","₹63,240",0*,₹0*,2663
,Rajasthan,"Govt Med Coll, Kota",ANAESTHESIOLOGY,AIQ,"₹14,093*","₹87,216*",2,"₹50,00,000",2581
,Kerala,"Govt Med Coll, Kottayam",ANAESTHESIOLOGY,AIQ,"₹69,470*","₹57,876",1*,"₹50,00,000*",2094
