"Rangaraya Medical College, KakinadaNTR University of Health Sciences, VijayWadaTypeGovernment InstituteManagementState AuthorityBeds1450Local DistinctionAU Local"
"Kurnool Medical College, KurnoolNTR University of Health Sciences, VijayWadaTypeGovernment InstituteManagementState AuthorityBeds1150Local DistinctionSVU Local"
"Narayana Medical College, NelloreNTR University of Health Sciences, VijayWadaTypePrivate Institute (State University)ManagementState AuthorityBeds1430Local DistinctionSVU Local"
"SV Medical College, TirupatiNTR University of Health Sciences, VijayWadaTypeGovernment InstituteManagementState AuthorityBeds940Local DistinctionSVU Local"
"NRI Medical College, GunturNTR University of Health Sciences, VijayWadaTypePrivate Institute (State University)ManagementState AuthorityBeds1050Local DistinctionAU Local"
"Alluri Sitaram Raju Academy of Medical Sciences, EluruNTR University of Health Sciences, VijayWadaTypePrivate Institute (State University)ManagementState AuthorityBeds1200Local DistinctionAU Local"
"Guntur Medical College, GunturNTR University of Health Sciences, VijayWadaTypeGovernment InstituteManagementState AuthorityBeds1170Local DistinctionAU Local"
"Sri Venkateswara Institute of Medical Sciences (SVIMS) , TirupatiSri Venkateswara Institute of Medical Sciences (SVIMS), TirupatiTypeGovernment InstituteManagementState AuthorityBeds1257Local DistinctionSVU Local"
"Government Siddhartha Medical College, VijaywadaNTR University of Health Sciences, VijayWadaTypeGovernment InstituteManagementState AuthorityBeds707Local DistinctionAU Local"
"Government Medical College, Kadapa (Prev. Rajiv Gandhi Institute of Medical Sciences, Kadapa)NTR University of Health Sciences, VijayWadaTypeGovernment InstituteManagementState AuthorityBeds715Local DistinctionSVU Local"
"GSL Medical College, RajahmundryNTR University of Health Sciences, VijayWadaTypePrivate Institute (State University)ManagementState AuthorityBeds1140Local DistinctionAU Local"
"Viswabharathi Medical College, KurnoolNTR University of Health Sciences, VijayWadaTypePrivate Institute (State University)ManagementState AuthorityBeds650Local DistinctionSVU Local"
"Government Medical College, AnanthapuramNTR University of Health Sciences, VijayWadaTypeGovernment InstituteManagementState AuthorityBeds500Local DistinctionSVU Local"
"NRI Institute of Medical Sciences, VisakhapatnamNTR University of Health Sciences, VijayWadaTypePrivate Institute (State University)ManagementState AuthorityBeds980Local DistinctionAU Local"
"Government Medical College, Srikakulam (Prev. Rajiv Gandhi Institute of Medical Sciences, Srikakulam)NTR University of Health Sciences, VijayWadaTypeGovernment InstituteManagementState AuthorityBeds532Local DistinctionAU Local"
"Government Medical College, Ongole (Prev. Rajiv Gandhi Institute of Medical Sciences, Ongole)NTR University of Health Sciences, VijayWadaTypeGovernment InstituteManagementState AuthorityBeds500Local DistinctionAU Local"
"Katuri Medical College, GunturNTR University of Health Sciences, VijayWadaTypePrivate Institute (State University)ManagementState AuthorityBeds1100Local DistinctionAU Local"
"Great Eastern Medical School and Hospital, SrikakulamNTR University of Health Sciences, VijayWadaTypePrivate Institute (State University)ManagementState AuthorityBeds780Local DistinctionAU Local"
"Konaseema Institute of Medical Sciences & Research Foundation, AmalapuramNTR University of Health Sciences, VijayWadaTypePrivate Institute (State University)ManagementState AuthorityBeds840Local DistinctionAU Local"
"Maharajah Institute of Medical Sciences, VizianagaramNTR University of Health Sciences, VijayWadaTypePrivate Institute (State University)ManagementState AuthorityBeds850Local DistinctionAU Local"
"Santhiram Medical College, NandyalNTR University of Health Sciences, VijayWadaTypePrivate Institute (State University)ManagementState AuthorityBeds930Local DistinctionSVU Local"
"PES Institute of Medical Sciences and Research, KuppamNTR University of Health Sciences, VijayWadaTypePrivate Institute (State University)ManagementState AuthorityBeds975Local DistinctionSVU Local"
"Dr PSI Medical College, ChinoutpalliNTR University of Health Sciences, VijayWadaTypePrivate Institute (State University)ManagementState AuthorityBeds790Local DistinctionAU Local"
"Gauhati Medical College, GuwahatiSrimanta Shankardeva University of Health Sciences, GuwahatiTypeGovernment InstituteManagementState AuthorityBeds2185"
"Assam Medical College, DibrugarhSrimanta Shankardeva University of Health Sciences, GuwahatiTypeGovernment InstituteManagementState AuthorityBeds1365"
"Silchar Medical College, SilcharSrimanta Shankardeva University of Health Sciences, GuwahatiTypeGovernment InstituteManagementState AuthorityBeds1256"
"Tezpur Medical College & Hospital, TezpurSrimanta Shankardeva University of Health Sciences, GuwahatiTypeGovernment InstituteManagementState AuthorityBeds500"
"Fakhruddin Ali Ahmed Medical College, BarpetaSrimanta Shankardeva University of Health Sciences, GuwahatiTypeGovernment InstituteManagementState AuthorityBeds470"
"Jorhat Medical College & Hospital , JorhatSrimanta Shankardeva University of Health Sciences, GuwahatiTypeGovernment InstituteManagementState AuthorityBeds814"
"Dr B Borooah Cancer Institute (Regional Cancer Centre), GuwahatiSrimanta Shankardeva University of Health Sciences, GuwahatiTypeGovernment InstituteManagementCentral AuthorityBeds275"
"Lokopriya Gopinath Bordoloi Regional Institute of Mental Health, TezpurGauhati UniversityTypeGovernment InstituteManagementCentral AuthorityBeds336"
"Katihar Medical College, KatiharAL-KARIM UNIVERSITY, KATIHARTypeState Private UniversityManagementState AuthorityBeds794"
"Mata Gujri Memorial Medical College, KishanganjMATA GUJRI UNIVERSITY, KISHANGANJTypeState Private UniversityManagementState AuthorityBeds610"
"Nalanda Medical College, PatnaAryabhatta Knowledge University, PatnaTypeGovernment InstituteManagementState AuthorityBeds750"
"Patna Medical College, PatnaAryabhatta Knowledge University, PatnaTypeGovernment InstituteManagementState AuthorityBeds1748"
"Darbhanga Medical College, LehriasaraiAryabhatta Knowledge University, PatnaTypeGovernment InstituteManagementState AuthorityBeds1030"
"Shri Krishna Medical College, MuzzafarpurAryabhatta Knowledge University, PatnaTypeGovernment InstituteManagementState AuthorityBeds610"
"Bhagwan Mahavir Institute of Medical Sciences, Pawapuri, Nalanda (Prev. Vardhman Institute of Medical Sciences, Pawapuri)Aryabhatta Knowledge University, PatnaTypeGovernment InstituteManagementState AuthorityBeds640"
"Indira Gandhi Institute of Medical Sciences, Sheikhpura, PatnaIndira Gandhi Instt of Medical Sciences (Deemed University), PatnaTypeGovernment InstituteManagementState AuthorityBeds1170"
