State,Institute,Course,From,To,Increase,Remark,
,Karnataka,"Hassan IMS, Hassan",FORENSIC MEDICINE,2,3,1,Increase in Seats in 2025 session
,Karnataka,"Haveri Inst of Med Sci, Haveri",FORENSIC MEDICINE,-,3,3,New seats added in 2025 Session
,Kerala,"Govt Med Coll, Ernakulam",FORENSIC MEDICINE,-,1,1,New seats added in 2025 Session
,Kerala,"Govt of Med Sci, Pariyaram",FORENSIC MEDICINE,-,1,1,New seats added in 2025 Session
,Madhya Pradesh,"Govt Med Coll, Chhindwara",FORENSIC MEDICINE,-,4,4,New seats added in 2025 Session
,Madhya Pradesh,"Government Med Coll, Satna",FORENSIC MEDICINE,-,4,4,New seats added in 2025 Session
,Maharashtra,"Govt Med Coll, Nandurbar",FORENSIC MEDICINE,-,3,3,New seats added in 2025 Session
,Maharashtra,"Seth GS, Mumbai",FORENSIC MEDICINE,2,5,3,Increase in Seats in 2025 session
,Punjab,"Guru Govind Singh, Faridkot",FORENSIC MEDICINE,4,8,4,Increase in Seats in 2025 session
,Rajasthan,"RUHS, Jaipur",FORENSIC MEDICINE,-,4,4,New seats added in 2025 Session
,Uttar Pradesh,"Govt Med Coll, Shahjhanpur",FORENSIC MEDICINE,3,5,2,Increase in Seats in 2025 session
,Uttar Pradesh,"MRA Med Coll, Ambedkarnagar",FORENSIC MEDICINE,-,4,4,New seats added in 2025 Session
,Uttarakhand,"Soban Singh Govt Inst, Almora",FORENSIC MEDICINE,-,3,3,New seats added in 2025 Session
,Andhra Pradesh,"Government Med Coll, Eluru",GENERAL MEDICINE,-,4,4,New seats added in 2025 Session
,Andhra Pradesh,"Govt Med Coll, Machilipatnam",GENERAL MEDICINE,-,4,4,New seats added in 2025 Session
,Andhra Pradesh,"Government Med Coll, Nandyal",GENERAL MEDICINE,-,4,4,New seats added in 2025 Session
,Andhra Pradesh,"Govt Med Coll, Rajamahendravaram",GENERAL MEDICINE,-,4,4,New seats added in 2025 Session
,Andhra Pradesh,"Govt Med Coll, Vizianagaram",GENERAL MEDICINE,-,4,4,New seats added in 2025 Session
,Assam,"Gauhati Med Coll, Guwahati",GENERAL MEDICINE,22,26,4,Increase in Seats in 2025 session
,Chhattisgarh,"Government Med Coll, Korba",GENERAL MEDICINE,-,4,4,New seats added in 2025 Session
,Chhattisgarh,"BaliramKashyap NDMC, Jagdalpur",GENERAL MEDICINE,-,4,4,New seats added in 2025 Session
,Chhattisgarh,"Lakhi Ram Agrawal, Raigarh",GENERAL MEDICINE,-,4,4,New seats added in 2025 Session
,Dadra and Nagar Haveli,"NAMO MERI Govt MedColl,Silvassa",GENERAL MEDICINE,-,4,4,New seats added in 2025 Session
,Delhi,"ESI, Basaidarpur, Delhi",GENERAL MEDICINE,4,8,4,Increase in Seats in 2025 session
,Gujarat,"GMERS Med Coll, Dharpur Patan",GENERAL MEDICINE,-,4,4,New seats added in 2025 Session
,Gujarat,"GMERS, Gandhinagar",GENERAL MEDICINE,6,10,4,Increase in Seats in 2025 session
,Gujarat,"GMERS Medical Coll, Himmatnagar",GENERAL MEDICINE,-,4,4,New seats added in 2025 Session
,Gujarat,"GMERS Medical College, Junagadh",GENERAL MEDICINE,-,4,4,New seats added in 2025 Session
,Gujarat,"GMERS Medical College, Valsad",GENERAL MEDICINE,-,4,4,New seats added in 2025 Session
,Gujarat,"MP Shah, Jamnagar",GENERAL MEDICINE,17,21,4,Increase in Seats in 2025 session
,Himachal Pradesh,"Govt Med Coll, Chamba",GENERAL MEDICINE,-,2,2,New seats added in 2025 Session
,Himachal Pradesh,"LalBahShastri Govt Med, Mandi",GENERAL MEDICINE,-,4,4,New seats added in 2025 Session. May be 3 seats (instead of 4)
,Jammu and Kashmir,"Government Med Coll,Anantnag",GENERAL MEDICINE,-,4,4,New seats added in 2025 Session
,Jammu and Kashmir,"Govt Med Coll, Jammu",GENERAL MEDICINE,13,17,4,Increase in Seats in 2025 session
,Jammu and Kashmir,"Government Medical Coll,Kathua",GENERAL MEDICINE,-,3,3,New seats added in 2025 Session
,Karnataka,"Belagavi IMS, Belagavi",GENERAL MEDICINE,6,9,3,Increase in Seats in 2025 session
,Karnataka,Chikkaballapura Inst of Med Sci,GENERAL MEDICINE,-,2,2,New seats added in 2025 Session
,Karnataka,Chikkamagaluru Inst of Med Sci,GENERAL MEDICINE,-,2,2,New seats added in 2025 Session
,Karnataka,"Gadag IMS, Gadag",GENERAL MEDICINE,5,9,4,Increase in Seats in 2025 session
,Karnataka,"Gulbarga IMS, Gulbarga",GENERAL MEDICINE,5,9,4,Increase in Seats in 2025 session
,Karnataka,"Haveri Inst of Med Sci, Haveri",GENERAL MEDICINE,-,4,4,New seats added in 2025 Session
,Karnataka,Kodagu Inst of Med Sciences,GENERAL MEDICINE,-,2,2,New seats added in 2025 Session
,Karnataka,"Koppal Inst of MS, Koppal",GENERAL MEDICINE,5,7,2,Increase in Seats in 2025 session
,Karnataka,"Raichur IMS, Raichur",GENERAL MEDICINE,4,8,4,Increase in Seats in 2025 session
,Karnataka,"Shri Atal Bihari Vajpayee, BLR",GENERAL MEDICINE,-,4,4,New seats added in 2025 Session
,Kerala,"Govt Med Coll, Ernakulam",GENERAL MEDICINE,3,4,1,Increase in Seats in 2025 session
,Kerala,"Govt Med Coll, Kollam",GENERAL MEDICINE,-,4,4,New seats added in 2025 Session
,Kerala,"Govt of Med Sci, Pariyaram",GENERAL MEDICINE,4,6,2,Increase in Seats in 2025 session
,Kerala,"TD Med Coll, Allepey",GENERAL MEDICINE,16,17,1,Increase in Seats in 2025 session
,Madhya Pradesh,"Atal Bihari Vajpayee, Vidisha",GENERAL MEDICINE,-,4,4,New seats added in 2025 Session
