Round,Quota,Category,State,Institute,Course,Seats,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5,CR 2025 1,CR 2025 2,CR 2025 3,
,3,AIQ,OBC,Kerala,"Govt Med Coll, Thrissur",RADIO DIAGNOSIS,0+1(VV),"₹69,470*","₹57,876",1*,"₹50,00,000*",1400,505(1),851(1),686(1),-,-,494(1),600(1),600(1),-,-,189(1),189(1),189(1)
,1,AIQ,OBC,Uttar Pradesh,"IMS(BHU), Varanasi",RADIO DIAGNOSIS,1,"₹48,226*","₹1,12,054*",0,₹0,2424,470(2),481(2),481(2),-,-,228(1),228(1),228(1),-,-,190(1),190(1),190(1)
,2,AIQ,OBC,Uttar Pradesh,"IMS(BHU), Varanasi",RADIO DIAGNOSIS,0+1(VV),"₹48,226*","₹1,12,054*",0,₹0,2424,470(2),481(2),481(2),-,-,228(1),228(1),228(1),-,-,190(1),190(1),190(1)
,3,AIQ,OBC,Uttar Pradesh,"IMS(BHU), Varanasi",RADIO DIAGNOSIS,0+1(VV),"₹48,226*","₹1,12,054*",0,₹0,2424,470(2),481(2),481(2),-,-,228(1),228(1),228(1),-,-,190(1),190(1),190(1)
,1,AIQ,GEN,Bihar,"Patna Med Coll, Patna",RADIO DIAGNOSIS,1,"₹9,000*","₹82,000",2*,"₹25,00,000*",1748,-,-,-,-,-,-,-,-,-,-,191(1),191(1),191(1)
,2,AIQ,GEN,Bihar,"Patna Med Coll, Patna",RADIO DIAGNOSIS,0+1(VV),"₹9,000*","₹82,000",2*,"₹25,00,000*",1748,-,-,-,-,-,-,-,-,-,-,191(1),191(1),191(1)
,3,AIQ,GEN,Bihar,"Patna Med Coll, Patna",RADIO DIAGNOSIS,0+1(VV),"₹9,000*","₹82,000",2*,"₹25,00,000*",1748,-,-,-,-,-,-,-,-,-,-,191(1),191(1),191(1)
,1,AIQ,OBC,Kerala,"Govt Med Coll, Kozhikode",GENERAL MEDICINE,3,"₹69,470*","₹57,876",1*,"₹50,00,000*",3025,220(3),220(3),220(3),-,-,792(3),792(3),792(3),-,-,195(3),195(3),195(3)
,1,AIQ,EWS,Uttar Pradesh,"IMS(BHU), Varanasi",RADIO DIAGNOSIS,1,"₹48,226*","₹1,12,054*",0,₹0,2424,473(1),577(1),577(1),-,-,279(1),279(1),279(1),-,-,196(1),196(1),196(1)
,2,AIQ,EWS,Uttar Pradesh,"IMS(BHU), Varanasi",RADIO DIAGNOSIS,0+1(VV),"₹48,226*","₹1,12,054*",0,₹0,2424,473(1),577(1),577(1),-,-,279(1),279(1),279(1),-,-,196(1),196(1),196(1)
