Round,Quota,Category,State,Institute,Course,Seats,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5,CR 2025 1,CR 2025 2,CR 2025 3,
,2,AIQ,GEN,Odisha,"SCB, Cuttack",GENERAL MEDICINE,0+4(VV),"₹35,000*","₹73,042",2*,"₹55,09,464*",2106,549(4),549(4),549(4),-,-,659(5),1139(5),1139(5),-,-,407(6),407(6),407(6)
,3,AIQ,GEN,Odisha,"SCB, Cuttack",GENERAL MEDICINE,0+4(VV),"₹35,000*","₹73,042",2*,"₹55,09,464*",2106,549(4),549(4),549(4),-,-,659(5),1139(5),1139(5),-,-,407(6),407(6),407(6)
,1,AIQ,EWS,Delhi,"Lady Hardinge, Delhi",GENERAL MEDICINE,1,"₹16,200*","₹1,26,927*",1,"₹20,00,000",877,301(1),509(1),509(1),-,-,194(1),194(1),194(1),-,-,239(1),239(1),408(1)
,2,AIQ,EWS,Delhi,"Lady Hardinge, Delhi",GENERAL MEDICINE,0+1(VV),"₹16,200*","₹1,26,927*",1,"₹20,00,000",877,301(1),509(1),509(1),-,-,194(1),194(1),194(1),-,-,239(1),239(1),408(1)
,3,AIQ,EWS,Delhi,"Lady Hardinge, Delhi",GENERAL MEDICINE,0+1(VV),"₹16,200*","₹1,26,927*",1,"₹20,00,000",877,301(1),509(1),509(1),-,-,194(1),194(1),194(1),-,-,239(1),239(1),408(1)
,1,AIQ,OBC,Tamil Nadu,"Stanley Med Coll, Chennai",RADIO DIAGNOSIS,2,"₹50,000*","₹54,025*",2*,"₹40,00,000*",1661,409(2),409(2),409(2),-,-,280(2),413(2),413(2),-,-,409(2),409(2),409(2)
,2,AIQ,OBC,Tamil Nadu,"Stanley Med Coll, Chennai",RADIO DIAGNOSIS,0+2(VV),"₹50,000*","₹54,025*",2*,"₹40,00,000*",1661,409(2),409(2),409(2),-,-,280(2),413(2),413(2),-,-,409(2),409(2),409(2)
,3,AIQ,OBC,Tamil Nadu,"Stanley Med Coll, Chennai",RADIO DIAGNOSIS,0+2(VV),"₹50,000*","₹54,025*",2*,"₹40,00,000*",1661,409(2),409(2),409(2),-,-,280(2),413(2),413(2),-,-,409(2),409(2),409(2)
,1,AIQ,GEN,Uttar Pradesh,"KGMU, Lucknow",RADIO DIAGNOSIS,2,"₹54,700*","₹1,26,725",2*,"₹40,00,000*",4500,225(2),421(2),421(2),-,-,146(1),295(1),249(1),-,-,274(2),410(2),410(2)
,2,AIQ,GEN,Uttar Pradesh,"KGMU, Lucknow",RADIO DIAGNOSIS,2,"₹54,700*","₹1,26,725",2*,"₹40,00,000*",4500,225(2),421(2),421(2),-,-,146(1),295(1),249(1),-,-,274(2),410(2),410(2)
,3,AIQ,GEN,Uttar Pradesh,"KGMU, Lucknow",RADIO DIAGNOSIS,0+2(VV),"₹54,700*","₹1,26,725",2*,"₹40,00,000*",4500,225(2),421(2),421(2),-,-,146(1),295(1),249(1),-,-,274(2),410(2),410(2)
,1,AIQ,ST,Delhi,"VMMC, Delhi",RADIO DIAGNOSIS,1,"₹15,000*","₹1,20,965*",1,"₹20,00,000",1550,3300(1),3300(1),3300(1),-,-,-,-,-,-,-,411(1),411(1),411(1)
,2,AIQ,ST,Delhi,"VMMC, Delhi",RADIO DIAGNOSIS,0+1(VV),"₹15,000*","₹1,20,965*",1,"₹20,00,000",1550,3300(1),3300(1),3300(1),-,-,-,-,-,-,-,411(1),411(1),411(1)
