"NTR University of Health Sciences, VijayWadaAndhra Pradesh•State Govt University"

"Sri Venkateswara Institute of Medical Sciences (SVIMS), TirupatiAndhra Pradesh•State Autonomous"

"Srimanta Shankardeva University of Health Sciences, GuwahatiAssam•State Govt University"

Gauhati UniversityAssam•State Govt University

"AL-KARIM UNIVERSITY, KATIHARBihar•State Private University"

"MATA GUJRI UNIVERSITY, KISHANGANJBihar•State Private University"

"Aryabhatta Knowledge University, PatnaBihar•State Govt University"

"Indira Gandhi Instt of Medical Sciences (Deemed University), PatnaBihar•State Autonomous"

"Veer Kunwar Singh University,BiharBihar•State Govt University"

Punjab UniversityChandigarh•State Govt University

"Statutory Autonomous, ChandigarhChandigarh•Central Autonomous"

"Pt. Deendayal Upadhyay Memorial Health Sciences and Ayush University, RaipurChhattisgarh•State Govt University"

Delhi UniversityDelhi•Central University

"Statutory Autonomous, AIIMSDelhi•Central Autonomous"

Guru Gobind Singh Indraprastha UniversityDelhi•State Govt University

University of Jamia Hamdard (Hamdard University)Delhi•Deemed to be University

Goa UniversityGoa•State Govt University

Saurashtra UniversityGujarat•State Govt University

Sardar Patel UniversityGujarat•State Govt University

Veer Narmad South Gujarat UniversityGujarat•State Govt University

Gujarat UniversityGujarat•State Govt University

Maharaja Krishnakumarsinghji Bhavnagar UniversityGujarat•State Govt University

MS University of BarodaGujarat•State Govt University

"Krantiguru Shyamji Krishna Verma Kachchh University, BhujGujarat•State Govt University"

"Sumandeep Vidyapeeth University (Deemed), VadodraGujarat•Deemed to be University"

"PT. B.D. Sharma University of Health Sciences, RohtakHaryana•State Govt University"

"Maharishi Marakandeshwar University (Deemed), AmbalaHaryana•Deemed to be University"

"ShreeGuru Gobind Singh Tricentenary University, GurgaonHaryana•State Private University"

Himachal Pradesh UniversityHimachal Pradesh•State Govt University

"Maharishi Marakandeshwar University, Kumarhatti, SolanHimachal Pradesh•State Private University"

Kashmir UniversityJammu and Kashmir•State Govt University

Jammu UniversityJammu and Kashmir•State Govt University

"Sher E Kashmir Institute of Medical Sciences (Deemed University), SrinagarJammu and Kashmir•State Govt University"

"Kolhan University, ChaibasaJharkhand•State Govt University"

Ranchi UniversityJharkhand•State Govt University

"Rajiv Gandhi University of Health Sciences, KarnatakaKarnataka•State Govt University"

"Manipal Academy of Higher Education (Deemed University), ManipalKarnataka•Deemed to be University"

